Geo_FIPS	Geo_NAME	Geo_QName	Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_CHARITER	Geo_CIFSN	Geo_LOGRECNO	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUNTYCC	Geo_COUNTYSC	Geo_COUSUB	Geo_COUSUBCC	Geo_COUSUBSC	Geo_PLACE	Geo_PLACECC	Geo_PLACESC	Geo_TRACT	Geo_BLKGRP	Geo_BLOCK	Geo_IUC	Geo_CONCIT	Geo_CONCITCC	Geo_CONCITSC	Geo_AIANHH	Geo_AIANHHFP	Geo_AIANHHCC	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_AITSCC	Geo_TTRACT	Geo_TBLKGRP	Geo_ANRC	Geo_ANRCCC	Geo_CBSA	Geo_CBSASC	Geo_METDIV	Geo_CSA	Geo_NECTA	Geo_NECTASC	Geo_NECTADIV	Geo_CNECTA	Geo_CBSAPCI	Geo_NECTAPCI	Geo_UA	Geo_UASC	Geo_UATYPE	Geo_UR	Geo_CD	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_VTDI	Geo_RESERVE2	Geo_ZCTA5	Geo_SUBMCD	Geo_SUBMCDCC	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_AREALAND	Geo_AREAWATR	Geo_FUNCSTAT	Geo_GCUNI	Geo_POP100	Geo_HU100	Geo_INTPTLAT	Geo_INTPTLON	Geo_LSADC	Geo_PARTFLAG	Geo_RESERVE3	Geo_UGA	Geo_STATENS	Geo_COUNTYNS	Geo_COUSUBNS	Geo_PLACENS	Geo_CONCITNS	Geo_AIANHHNS	Geo_AITSNS	Geo_ANRCNS	Geo_SUBMCDNS	Geo_CD113	Geo_CD114	Geo_CD115	Geo_SLDU2	Geo_SLDU3	Geo_SLDU4	Geo_SLDL2	Geo_SLDL3	Geo_SLDL4	Geo_AIANHHSC	Geo_CSASC	Geo_CNECTASC	Geo_MEMI	Geo_NMEMI	Geo_PUMA	Geo_RESERVED	SE_T001_001
"1315660"	"Calhoun, GA Micro Area"	"Calhoun, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337101"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"15660"	"17"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"921538864"	"5787657"	"S"	""	"55186"	"22278"	"+34.4978714"	"-084.9080590"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	55186
"1316340"	"Cedartown, GA Micro Area"	"Cedartown, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337104"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"16340"	"16"	""	"122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"803754838"	"4686006"	"S"	""	"41475"	"16908"	"+34.0198054"	"-085.1667605"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"23"	""	"2"	""	""	""	41475
"1316860"	"Chattanooga, TN-GA Metro Area (part)"	"Chattanooga, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337107"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"16860"	"20"	""	"174"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2026717439"	"2915777"	"S"	""	"149331"	"64011"	"+34.8534287"	"-085.3087938"	"M1"	"P"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	""	"1"	""	""	""	149331
"1317980"	"Columbus, GA-AL Metro Area (part)"	"Columbus, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337111"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"17980"	"19"	""	"194"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3354017332"	"45623119"	"S"	""	"241918"	"103619"	"+32.5046414"	"-084.8712783"	"M1"	"P"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19"	""	"1"	""	""	""	241918
"1318380"	"Cordele, GA Micro Area"	"Cordele, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337117"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"18380"	"15"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"705987965"	"21672328"	"S"	""	"23439"	"10734"	"+31.9374960"	"-083.7691510"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	23439
"1318460"	"Cornelia, GA Micro Area"	"Cornelia, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337120"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"18460"	"16"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"716752092"	"5919798"	"S"	""	"43041"	"18146"	"+34.5715064"	"-083.5366419"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	43041
"1319140"	"Dalton, GA Metro Area"	"Dalton, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337123"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"19140"	"18"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1644460784"	"7218234"	"S"	""	"142227"	"55878"	"+34.7917325"	"-084.9256920"	"M1"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"1"	""	""	""	142227
"1320060"	"Douglas, GA Micro Area"	"Douglas, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337127"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20060"	"17"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2368489473"	"84705089"	"S"	""	"50731"	"20583"	"+31.4946732"	"-082.8466501"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	50731
"1320140"	"Dublin, GA Micro Area"	"Dublin, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337131"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20140"	"17"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2875679599"	"38220868"	"S"	""	"58414"	"25488"	"+32.5363047"	"-082.8729419"	"M2"	"W"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	58414
"1321640"	"Eufaula, AL-GA Micro Area (part)"	"Eufaula, Georgia"	"UR1ST"	"GA"	"320"	"00"	"000"	"47"	"337135"	"3"	"5"	"13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"21640"	"16"	""	"999"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"391703085"	"24158294"	"S"	""	"2513"	"2047"	"+31.8610417"	"-085.0323264"	"M2"	"P"	""	""	"01705317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"00"	""	"2"	""	""	""	2513
