"","RegionID","RegionName","X2016.04","x_i","x.bar","e_i"
"2",394913,"New York, NY",235,5.45958551414416,4.74811812479718,0.711467389346978
"3",753899,"Los Angeles-Long Beach-Anaheim, CA",374,5.92425579741453,4.74811812479718,1.17613767261735
"4",394463,"Chicago, IL",132,4.88280192258637,4.74811812479718,0.134683797789189
"5",394514,"Dallas-Fort Worth, TX",99,4.59511985013459,4.74811812479718,-0.152998274662592
"6",394974,"Philadelphia, PA",130,4.86753445045558,4.74811812479718,0.119416325658401
"7",394692,"Houston, TX",90,4.49980967033027,4.74811812479718,-0.248308454466916
"8",395209,"Washington, DC",222,5.40267738187228,4.74811812479718,0.654559257075098
"9",394856,"Miami-Fort Lauderdale, FL",155,5.04342511691925,4.74811812479718,0.295306992122065
"10",394347,"Atlanta, GA",91,4.51085950651685,4.74811812479718,-0.237258618280332
"11",394404,"Boston, MA",241,5.48479693349065,4.74811812479718,0.736678808693473
"12",395057,"San Francisco, CA",514,6.24222326545517,4.74811812479718,1.49410514065798
"13",394532,"Detroit, MI",97,4.57471097850338,4.74811812479718,-0.173407146293798
"14",395025,"Riverside, CA",181,5.19849703126583,4.74811812479718,0.450378906468645
"15",394976,"Phoenix, AZ",130,4.86753445045558,4.74811812479718,0.119416325658401
"16",395078,"Seattle, WA",220,5.39362754635236,4.74811812479718,0.645509421555181
"17",394865,"Minneapolis-St Paul, MN",168,5.12396397940326,4.74811812479718,0.375845854606077
"18",395056,"San Diego, CA",319,5.76519110278484,4.74811812479718,1.01707297798766
"19",395121,"St. Louis, MO",109,4.69134788222914,4.74811812479718,-0.0567702425680379
"20",395148,"Tampa, FL",111,4.70953020131233,4.74811812479718,-0.0385879234848474
"21",394358,"Baltimore, MD",167,5.11799381241676,4.74811812479718,0.369875687619574
"22",394530,"Denver, CO",214,5.36597601502185,4.74811812479718,0.61785789022467
"23",394982,"Pittsburgh, PA",94,4.54329478227,4.74811812479718,-0.204823342527177
"24",394998,"Portland, OR",203,5.31320597904179,4.74811812479718,0.565087854244606
"25",394458,"Charlotte, NC",96,4.56434819146784,4.74811812479718,-0.183769933329345
"26",395045,"Sacramento, CA",200,5.29831736654804,4.74811812479718,0.550199241750855
"27",395055,"San Antonio, TX",88,4.47733681447821,4.74811812479718,-0.270781310318974
"28",394943,"Orlando, FL",110,4.70048036579242,4.74811812479718,-0.0476377590047647
"29",394466,"Cincinnati, OH",93,4.53259949315326,4.74811812479718,-0.215518631643925
"30",394475,"Cleveland, OH",85,4.44265125649032,4.74811812479718,-0.305466868306865
"31",394735,"Kansas City, MO",101,4.61512051684126,4.74811812479718,-0.132997607955922
"32",394775,"Las Vegas, NV",118,4.77068462446567,4.74811812479718,0.0225664996684838
"33",394492,"Columbus, OH",100,4.60517018598809,4.74811812479718,-0.14294793880909
"34",394705,"Indianapolis, IN",80,4.38202663467388,4.74811812479718,-0.3660914901233
"35",395059,"San Jose, CA",617,6.42486902390539,4.74811812479718,1.67675089910821
"36",394355,"Austin, TX",135,4.90527477843843,4.74811812479718,0.157156653641248
"37",395194,"Virginia Beach, VA",125,4.8283137373023,4.74811812479718,0.0801956125051202
"38",394902,"Nashville, TN",113,4.72738781871234,4.74811812479718,-0.0207303060848405
"39",395005,"Providence, RI",172,5.14749447681345,4.74811812479718,0.399376352016271
"40",394862,"Milwaukee, WI",110,4.70048036579242,4.74811812479718,-0.0476377590047647
"41",394714,"Jacksonville, FL",99,4.59511985013459,4.74811812479718,-0.152998274662592
"42",394849,"Memphis, TN",69,4.23410650459726,4.74811812479718,-0.514011620199922
"43",394935,"Oklahoma City, OK",86,4.45434729625351,4.74811812479718,-0.293770828543674
"44",394807,"Louisville-Jefferson County, KY",103,4.63472898822964,4.74811812479718,-0.113389136567545
"45",394669,"Hartford, CT",140,4.9416424226093,4.74811812479718,0.193524297812123
"46",395022,"Richmond, VA",116,4.75359019110636,4.74811812479718,0.00547206630918318
"47",394910,"New Orleans, LA",104,4.64439089914137,4.74811812479718,-0.103727225655809
"48",394425,"Buffalo, NY",94,4.54329478227,4.74811812479718,-0.204823342527177
"49",395012,"Raleigh, NC",116,4.75359019110636,4.74811812479718,0.00547206630918318
"50",394388,"Birmingham, AL",83,4.4188406077966,4.74811812479718,-0.329277517000583
"51",395053,"Salt Lake City, UT",172,5.14749447681345,4.74811812479718,0.399376352016271
"52",395031,"Rochester, NY",88,4.47733681447821,4.74811812479718,-0.270781310318974
"53",394640,"Grand Rapids, MI",94,4.54329478227,4.74811812479718,-0.204823342527177
"54",395167,"Tucson, AZ",106,4.66343909411207,4.74811812479718,-0.0846790306851144
"55",753924,"Urban Honolulu, HI",477,6.16751649088834,4.74811812479718,1.41939836609116
"56",395169,"Tulsa, OK",78,4.35670882668959,4.74811812479718,-0.39140929810759
"57",394619,"Fresno, CA",128,4.85203026391962,4.74811812479718,0.103912139122436
"58",395238,"Worcester, MA",151,5.01727983681492,4.74811812479718,0.269161712017743
"59",394415,"Stamford, CT",219,5.3890717298165,4.74811812479718,0.64095360501932
"60",394312,"Albuquerque, NM",90,4.49980967033027,4.74811812479718,-0.248308454466916
"61",394308,"Albany, NY",128,4.85203026391962,4.74811812479718,0.103912139122436
"62",394938,"Omaha, NE",107,4.67282883446191,4.74811812479718,-0.0752892903352755
"63",394908,"New Haven, CT",144,4.969813299576,4.74811812479718,0.221695174778819
"64",394357,"Bakersfield, CA",122,4.80402104473326,4.74811812479718,0.0559029199360754
"65",394753,"Knoxville, TN",93,4.53259949315326,4.74811812479718,-0.215518631643925
